trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.456194981999943,None,space,8.069100189000096,15.456194981999943,None,,,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
0,0,0,0,,,,,,,24.98926948199994,None,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
1,0,1,0,,,,,,,26.391194501999962,25.18941469099991,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
2,0,2,0,,,,,,,28.17547502100001,26.596484327999974,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
3,0,3,0,,,,,,,29.873680853999986,28.392966842999954,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
4,0,4,0,,,,,,,31.829913353999927,30.07554031799998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
5,0,5,0,,,,,,,33.775037924,32.044290101,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
6,0,6,0,,,,,,,35.52578255699996,33.97501455199995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
7,0,7,0,,,,,,,37.043186576999915,35.726421232999996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
8,0,8,0,,,,,,,38.62677962199996,37.24257489399997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
9,0,9,0,,,,,,,40.44408754299991,38.83003020199999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
10,0,10,0,,,,,,,41.945145174000004,40.647555024999974,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
11,0,11,0,,,,,,,43.36325704199999,42.14423827299993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
12,0,12,0,,,,,,,45.26205400099991,43.580508438999914,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
13,0,13,0,,,,,,,46.912462592,45.46181046999993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
14,0,14,0,,,,,,,48.396451906999914,47.116793214999916,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
15,0,15,0,,,,,,,49.99692346699999,48.597044627999935,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
16,0,16,0,,,,,,,51.81400574499992,50.197073936999914,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
17,0,17,0,,,,,,,53.632140603999915,52.01670040699992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
18,0,18,0,,,,,,,55.03622263699992,53.83602173499992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
19,0,19,0,,,,,,,56.76537667299999,55.24869292199992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
20,0,20,0,,,,,,,58.66637972199999,56.96551328099997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
21,0,21,0,,,,,,,60.51908950299992,58.86699996499999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
22,0,22,0,,,,,,,62.23439185099994,60.71763434799993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
23,0,23,0,,,,,,,63.802860359999954,62.43387527699997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
24,0,24,0,,,,,,,65.55151595799998,64.02248821299997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
25,0,25,0,,,,,,,67.235766861,65.75743975699993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
26,0,26,0,,,,,,,68.75296257999992,67.43633455499992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
27,0,27,0,,,,,,,70.62034684799994,68.95412328499992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
28,0,28,0,,,,,,,72.38832752999997,70.82480936699994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
29,0,29,0,,,,,,,74.17503845499994,72.58880910999994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
30,0,30,0,,,,,,,75.80517684299991,74.39079591099994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
31,0,31,0,,,,,,,77.50563359099999,76.00483817199995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
32,0,32,0,,,,,,,79.2236306069999,77.70535292900001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
33,0,33,0,,,,,,,80.65663483799995,79.42473602299992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
34,0,34,0,,,,,,,82.09096256199996,80.85689616699995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
35,0,35,0,,,,,,,83.95831893599996,82.29128728299997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
36,0,36,0,,,,,,,85.593310696,84.15776185300001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
37,0,37,0,,,,,,,87.17968710599996,85.8116460409999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
38,0,38,0,,,,,,,88.92610800699993,87.39182288399991,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
39,0,39,0,,,,,,,90.44288080699994,89.12656291899998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
40,0,40,0,,,,,,,91.87659579199999,90.64275664799993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
41,0,41,0,,,,,,,93.66216048000001,92.07707076700001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
42,0,42,0,,,,,,,95.479267349,93.87925873899997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
43,0,43,0,,,,,,,97.261790582,95.69445061499994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
44,0,44,0,,,,,,,98.72955398599993,97.461666014,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
45,0,45,0,,,,,,,100.346281266,98.93107941400001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
